Planet,Era,Owner,ObjectType,Amount,ReuseEra
Almania,4,,,,1
Almania,5,,,,1
Almania,6,,,,1
Alsakan,1,Empire,Generate_Force,1,
Alsakan,2,,,,1
Alsakan,3,,,,1
Alsakan,4,,,,1
Alsakan,5,,,,1
Alsakan,6,,,,1
Althir,1,Independent_Forces,Generate_Force,1,
Althir,2,,,,1
Althir,3,,,,1
Althir,4,,,,1
Althir,5,,,,1
Althir,6,,,,1
Alzoc,1,Hutt_Cartels,Generate_Force,1,
Alzoc,2,,,,1
Alzoc,3,,,,1
Alzoc,4,,,,1
Alzoc,5,,,,1
Alzoc,6,,,,1
Anaxes,1,Empire,Generate_Force,1,
Anaxes,2,,,,1
Anaxes,3,,,,1
Anaxes,4,,,,1
Anaxes,5,,,,1
Anaxes,6,,,,1
Ando,1,Independent_Forces,Generate_Force,1,
Ando,2,Rebel,Generate_Force,1,
Ando,3,,,,2
Ando,4,,,,2
Ando,5,,,,2
Ando,6,,,,2
Ando_Prime,1,Hutt_Cartels,Generate_Force,1,
Ando_Prime,2,Rebel,Generate_Force,1,
Ando_Prime,3,,,,2
Ando_Prime,4,,,,2
Ando_Prime,5,,,,2
Ando_Prime,6,,,,2
Annaj,1,Independent_Forces,Generate_Force,1,
Annaj,2,,,,1
Annaj,3,,,,1
Annaj,4,,,,1
Annaj,5,,,,1
Annaj,6,Empire,Generate_Force,1,
Anoat,1,Independent_Forces,Generate_Force,1,
Anoat,2,,,,1
Anoat,3,,,,1
Anoat,4,,,,1
Anoat,5,,,,1
Anoat,6,,,,1
Ansion,1,Empire,Generate_Force,1,
Ansion,2,,,,1
Ansion,3,,,,1
Ansion,4,,,,1
Ansion,5,,,,1
Ansion,6,,,,1
Antar,1,Empire,Generate_Force,1,
Antar,2,Rebel,Generate_Force,1,
Antar,3,,,,1
Antar,4,,,,2
Antar,5,,,,1
Antar,6,,,,2
Antemeridias,1,Rebel,Generate_Force,1,
Antemeridias,2,,,,1
Antemeridias,3,,,,1
Antemeridias,4,,,,1
Antemeridias,5,Empire,Generate_Force,1,
Antemeridias,6,,,,5
Anx_Minor,1,Empire,Generate_Force,1,
Anx_Minor,2,,,,1
Anx_Minor,3,,,,1
Anx_Minor,4,,,,1
Anx_Minor,5,,,,1
Anx_Minor,6,,,,1
Arda,1,Independent_Forces,Generate_Force,1,
Arda,2,,,,1
Arda,3,Empire,Generate_Force,1,
Arda,4,Rebel,Generate_Force,1,
Arda,5,,,,4
Arda,6,,,,4
Argovia,1,Hutt_Cartels,Generate_Force,1,
Argovia,2,,,,1
Argovia,3,,,,1
Argovia,4,,,,1
Argovia,5,,,,1
Argovia,6,Empire,Generate_Force,1,
Arized,1,Independent_Forces,Generate_Force,1,
Arized,2,,,,1
Arized,3,,,,1
Arized,4,,,,1
Arized,5,,,,1
Arized,6,,,,1
Arkania,1,Empire,Generate_Force,1,
Arkania,2,,,,1
Arkania,3,,,,1
Arkania,4,,,,1
Arkania,5,,,,1
Arkania,6,,,,1
Atchorb,1,Independent_Forces,Generate_Force,1,
Atchorb,2,,,,1
Atchorb,3,,,,1
Atchorb,4,,,,1
Atchorb,5,,,,1
Atchorb,6,Corporate_Sector,Generate_Force,1,
Athiss,1,Independent_Forces,Generate_Force,1,
Athiss,2,,,,1
Athiss,3,,,,1
Athiss,4,,,,1
Athiss,5,,,,1
Athiss,6,,,,1
Atravis,1,Rebel,Generate_Force,1,
Atravis,2,,,,1
Atravis,3,,,,1
Atravis,4,,,,1
Atravis,5,,,,1
Atravis,6,,,,1
Attahox,1,Rebel,Generate_Force,1,
Attahox,2,,,,1
Attahox,3,,,,1
Attahox,4,,,,1
Attahox,5,,,,1
Attahox,6,,,,1
Aturi,1,Sector_Forces,Generate_Force,1,
Aturi,2,,,,1
Aturi,3,,,,1
Aturi,4,,,,1
Aturi,5,,,,1
Aturi,6,,,,1
Atzerri,1,Independent_Forces,Generate_Force,1,
Atzerri,2,,,,1
Atzerri,3,,,,1
Atzerri,4,,,,1
Atzerri,5,,,,1
Atzerri,6,,,,1
Axxila,1,Rebel,Generate_Force,1,
Axxila,2,,,,1
Axxila,3,,,,1
Axxila,4,,,,1
Axxila,5,,,,1
Axxila,6,Empire,Generate_Force,1,
Azure,1,Empire,Generate_Force,1,
Azure,2,,,,1
Azure,3,,,,1
Azure,4,,,,1
Azure,5,Rebel,Generate_Force,1,
Bajic,1,Independent_Forces,Generate_Force,1,
Bajic,2,,,,1
Bajic,3,,,,1
Bajic,4,,,,1
Bajic,5,,,,1
Bajic,6,,,,1
Bakura,1,Empire,Generate_Force,1,
Bakura,2,Rebel,Generate_Force,1,
Bakura,3,,,,2
Bakura,4,,,,2
Bakura,5,,,,1
Bakura,6,,,,1
Balamak,1,Rebel,Generate_Force,1,
Balamak,2,,,,1
Balamak,3,Empire,Generate_Force,1,
Balamak,4,,,,3
Balamak,5,,,,3
Balamak,6,,,,3
Balmorra,1,Empire,Generate_Force,1,
Balmorra,2,Rebel,Generate_Force,1,
Balmorra,3,Independent_Forces,Generate_Force,1,
Balmorra,4,,,,3
Balmorra,5,,,,3
Balmorra,6,,,,3
Bandomeer,1,Independent_Forces,Generate_Force,1,
Bandomeer,2,,,,1
Bandomeer,3,,,,1
Bandomeer,4,,,,1
Bandomeer,5,,,,1
Bandomeer,6,,,,1
Barab,1,Independent_Forces,Generate_Force,1,
Barab,2,,,,1
Barab,3,,,,1
Barab,4,,,,1
Barab,5,,,,1
Barab,6,,,,1
Barkhesh,1,Sector_Forces,Generate_Force,1,
Barkhesh,2,,,,1
Barkhesh,3,,,,1
Barkhesh,4,,,,1
Barkhesh,5,,,,1
Barkhesh,6,,,,1
Barlok,1,Rebel,Generate_Force,1,
Barlok,2,,,,1
Barlok,3,,,,1
Barlok,4,,,,1
Barlok,5,,,,1
Barlok,6,,,,1
Basilisk,1,Empire,Generate_Force,1,
Basilisk,2,,,,1
Basilisk,3,,,,1
Basilisk,4,,,,1
Basilisk,5,,,,1
Basilisk,6,,,,1
Bassadro,1,Rebel,Generate_Force,1,
Bassadro,2,,,,1
Bassadro,3,Empire,Generate_Force,1,
Bassadro,4,,,,3
Bassadro,5,,,,3
Bassadro,6,,,,3
Bastion,1,Banking_Clan,Generate_Force,1,
Bastion,2,,,,1
Bastion,3,,,,1
Bastion,4,,,,1
Bastion,5,,,,1
Bastion,6,Rebel,Generate_Force,1,
Bazaar,1,Empire,Generate_Force,1,
Bazaar,2,,,,1
Bazaar,3,,,,1
Bazaar,4,,,,1
Bazaar,5,,,,1
Bazaar,6,,,,1
Begeren,1,Commerce_Guild,Generate_Force,1,
Begeren,2,,,,1
Begeren,3,,,,1
Begeren,4,,,,1
Begeren,5,,,,1
Begeren,6,Empire,Generate_Force,1,
Belderone,1,Rebel,Generate_Force,1,
Belderone,2,,,,1
Belderone,3,Empire,Generate_Force,1,
Belderone,4,,,,3
Belderone,5,,,,3
Belderone,6,,,,3
Belgaroth,1,Empire,Generate_Force,1,
Belgaroth,2,Independent_Forces,Generate_Force,1,
Belgaroth,3,,,,1
Belgaroth,4,,,,1
Belgaroth,5,,,,1
Belgaroth,6,,,,1
Belkadan,1,Banking_Clan,Generate_Force,1,
Belkadan,2,,,,1
Belkadan,3,,,,1
Belkadan,4,,,,1
Belkadan,5,,,,1
Belkadan,6,Empire,Generate_Force,1,
Belsavis,1,Independent_Forces,Generate_Force,1,
Belsavis,2,,,,1
Belsavis,3,,,,1
Belsavis,4,,,,1
Belsavis,5,,,,1
Belsavis,6,Empire,Generate_Force,1,
Belsmuth,1,Rebel,Generate_Force,1,
Belsmuth,2,,,,1
Belsmuth,3,,,,1
Belsmuth,4,Empire,Generate_Force,1,
Belsmuth,5,,,,4
Belsmuth,6,,,,4
Berrols_Donn,1,Independent_Forces,Generate_Force,1,
Berrols_Donn,2,,,,1
Berrols_Donn,3,,,,1
Berrols_Donn,4,,,,1
Berrols_Donn,5,,,,1
Berrols_Donn,6,,,,1
Bescane,1,Banking_Clan,Generate_Force,1,
Bescane,2,,,,1
Bescane,3,,,,1
Bescane,4,,,,1
Bescane,5,,,,1
Bescane,6,Rebel,Generate_Force,1,
Bespin,1,Independent_Forces,Generate_Force,1,
Bespin,2,,,,1
Bespin,3,Rebel,Generate_Force,1,
Bespin,4,Empire,Generate_Force,1,
Bespin,5,,,,1
Bespin,6,,,,4
Bestine,1,Empire,Generate_Force,1,
Bestine,2,,,,1
Bestine,3,,,,1
Bestine,4,,,,1
Bestine,5,,,,1
Bestine,6,,,,1
Bilbringi,1,Empire,Generate_Force,1,
Bilbringi,2,,,,1
Bilbringi,3,,,,1
Bilbringi,4,,,,1
Bilbringi,5,,,,1
Bilbringi,6,,,,1
Bimmiel,1,Sector_Forces,Generate_Force,1,
Bimmiel,2,,,,1
Bimmiel,3,Rebel,Generate_Force,1,
Bimmiel,4,,,,3
Bimmiel,5,,,,3
Bimmiel,6,Empire,Generate_Force,1,
Bimmisaari,1,Hutt_Cartels,Generate_Force,1,
Bimmisaari,2,,,,1
Bimmisaari,3,,,,1
Bimmisaari,4,,,,1
Bimmisaari,5,,,,1
Bimmisaari,6,Empire,Generate_Force,1,
Bknos,1,Independent_Forces,Generate_Force,1,
Bknos,2,,,,1
Bknos,3,,,,1
Bknos,4,,,,1
Bknos,5,,,,1
Bknos,6,,,,1
Bogo_Rai,1,Independent_Forces,Generate_Force,1,
Bogo_Rai,2,,,,1
Bogo_Rai,3,,,,1
Bogo_Rai,4,,,,1
Bogo_Rai,5,,,,1
Bogo_Rai,6,,,,1
Bomis_Koori,1,Rebel,Generate_Force,1,
Bomis_Koori,2,,,,1
Bomis_Koori,3,,,,1
Bomis_Koori,4,,,,1
Bomis_Koori,5,Empire,Generate_Force,1,
Bomis_Koori,6,,,,5
Bompreil,1,Rebel,Generate_Force,1,
Bompreil,2,,,,1
Bompreil,3,,,,1
Bompreil,4,,,,1
Bompreil,5,,,,1
Bompreil,6,,,,1
Bonadan,1,Sector_Forces,Generate_Force,1,
Bonadan,2,,,,1
Bonadan,3,,,,1
Bonadan,4,,,,1
Bonadan,5,,,,1
Bonadan,6,Corporate_Sector,Generate_Force,1,
Boonta,1,Hutt_Cartels,Generate_Force,1,
Boonta,2,,,,1
Boonta,3,,,,1
Boonta,4,,,,1
Boonta,5,,,,1
Boonta,6,,,,1
Borleias,1,Sector_Forces,Generate_Force,1,
Borleias,2,,,,1
Borleias,3,Empire,Generate_Force,1,
Borleias,4,,,,3
Borleias,5,,,,3
Borleias,6,,,,3
Bormter,1,Independent_Forces,Generate_Force,1,
Bormter,2,,,,1
Bormter,3,,,,1
Bormter,4,,,,1
Bormter,5,,,,1
Bormter,6,,,,1
Bormus,1,Empire,Generate_Force,1,
Bormus,2,,,,1
Bormus,3,,,,1
Bormus,4,,,,1
Bormus,5,,,,1
Bormus,6,,,,1
Borosk,1,Sector_Forces,Generate_Force,1,
Borosk,2,,,,1
Borosk,3,,,,1
Borosk,4,,,,1
Borosk,5,,,,1
Borosk,6,,,,1
Botajef,1,Empire,Generate_Force,1,
Botajef,2,Rebel,Generate_Force,1,
Botajef,3,,,,2
Botajef,4,,,,2
Botajef,5,,,,2
Botajef,6,Mandalorians,Generate_Force,1,
Bothawui,1,Empire,Generate_Force,1,
Bothawui,2,,,,1
Bothawui,3,,,,1
Bothawui,4,,,,1
Bothawui,5,,,,1
Bothawui,6,,,,1
Boz_Pity,2,Rebel,Generate_Force,1,
Boz_Pity,3,,,,2
Boz_Pity,4,,,,2
Boz_Pity,5,Empire,Generate_Force,1,
Boz_Pity,6,,,,5
Bpfassh,1,Empire,Generate_Force,1,
Bpfassh,2,Rebel,Generate_Force,1,
Bpfassh,3,,,,1
Bpfassh,4,,,,1
Bpfassh,5,,,,1
Bpfassh,6,,,,1
Brentaal,1,Empire,Generate_Force,1,
Brentaal,2,Rebel,Generate_Force,1,
Brentaal,3,,,,1
Brentaal,4,,,,1
Brentaal,5,,,,1
Brentaal,6,,,,1
Bresnia,1,Sector_Forces,Generate_Force,1,
Bresnia,2,,,,1
Bresnia,3,,,,1
Bresnia,4,,,,1
Bresnia,5,,,,1
Bresnia,6,,,,1
Brigia,1,Rebel,Generate_Force,1,
Brigia,2,,,,1
Brigia,3,,,,1
Brigia,4,,,,1
Brigia,5,,,,1
Brigia,6,Empire,Generate_Force,1,
Burin_Konn,1,Independent_Forces,Generate_Force,1,
Burin_Konn,2,,,,1
Burin_Konn,3,,,,1
Burin_Konn,4,,,,1
Burin_Konn,5,,,,1
Burin_Konn,6,,,,1
Byblos,1,Empire,Generate_Force,1,
Byblos,2,,,,1
Byblos,3,,,,1
Byblos,4,,,,1
Byblos,5,,,,1
Byblos,6,,,,1
Byss,1,Empire,Generate_Force,1,
Byss,2,,,,1
Byss,3,,,,1
Byss,4,,,,1
Byss,5,,,,1
Byss,6,,,,1
Caamas,1,Sector_Forces,Generate_Force,1,
Caamas,2,,,,1
Caamas,3,,,,1
Caamas,4,,,,1
Caamas,5,,,,1
Cal_Seti,1,Empire,Generate_Force,1,
Cal_Seti,2,,,,1
Cal_Seti,3,,,,1
Cal_Seti,4,,,,1
Cal_Seti,5,,,,1
Cal_Seti,6,,,,1
Calonica,1,Rebel,Generate_Force,1,
Calonica,2,,,,1
Calonica,3,,,,1
Calonica,4,,,,1
Calonica,5,Empire,Generate_Force,1,
Calonica,6,,,,5
Carida,1,Empire,Generate_Force,1,
Carida,2,,,,1
Carida,3,,,,1
Carida,4,,,,1
Carida,5,,,,1
Carida,6,,,,1
Cartao,1,Independent_Forces,Generate_Force,1,
Cartao,2,Rebel,Generate_Force,1,
Cartao,3,Empire,Generate_Force,1,
Cartao,4,,,,3
Cartao,5,,,,3
Cartao,6,,,,3
Casfield,1,Independent_Forces,Generate_Force,1,
Casfield,2,,,,1
Casfield,3,,,,1
Casfield,4,,,,1
Casfield,5,,,,1
Casfield,6,,,,1
Castell,1,Commerce_Guild,Generate_Force,1,
Castell,2,,,,1
Castell,3,,,,1
Castell,4,,,,1
Castell,5,,,,1
Castell,6,Empire,Generate_Force,1,
Cathar,1,Independent_Forces,Generate_Force,1,
Cathar,2,,,,1
Cathar,3,,,,1
Cathar,4,,,,1
Cathar,5,,,,1
Cathar,6,,,,1
Catlia,1,Chiss,Generate_Force,1,
Catlia,2,,,,1
Catlia,3,,,,1
Catlia,4,,,,1
Catlia,5,,,,1
Catlia,6,,,,1
Cato_Neimoidia,1,Trade_Federation,Generate_Force,1,
Cato_Neimoidia,2,,,,1
Cato_Neimoidia,3,,,,1
Cato_Neimoidia,4,,,,1
Cato_Neimoidia,5,,,,1
Cato_Neimoidia,6,Empire,Generate_Force,1,
Cattamascar,1,Independent_Forces,Generate_Force,1,
Cattamascar,2,,,,1
Cattamascar,3,,,,1
Cattamascar,4,,,,1
Cattamascar,5,,,,1
Cattamascar,6,,,,1
Cejansij,1,Hutt_Cartels,Generate_Force,1,
Cejansij,2,,,,1
Cejansij,3,Empire,Generate_Force,1,
Cejansij,4,,,,3
Cejansij,5,,,,3
Cejansij,6,,,,3
Celanon,1,Rebel,Generate_Force,1,
Celanon,2,,,,1
Celanon,3,,,,1
Celanon,4,,,,1
Celanon,5,,,,1
Celanon,6,,,,1
Celwis,1,Chiss,Generate_Force,1,
Celwis,2,,,,1
Celwis,3,,,,1
Celwis,4,,,,1
Celwis,5,,,,1
Celwis,6,,,,1
Centares,1,Rebel,Generate_Force,1,
Centares,2,,,,1
Centares,3,Empire,Generate_Force,1,
Centares,4,,,,1
Centares,5,,,,3
Centares,6,,,,3
Cerea,1,Sector_Forces,Generate_Force,1,
Cerea,2,Independent_Forces,Generate_Force,1,
Cerea,3,Empire,Generate_Force,1,
Cerea,4,,,,2
Cerea,5,,,,2
Cerea,6,,,,2
Chalcedon,1,Sector_Forces,Generate_Force,1,
Chalcedon,2,,,,1
Chalcedon,3,,,,1
Chalcedon,4,,,,1
Chalcedon,5,,,,1
Chalcedon,6,Independent_Forces,Generate_Force,1,
Champala,1,Empire,Generate_Force,1,
Champala,2,,,,1
Champala,3,,,,1
Champala,4,,,,1
Champala,5,,,,1
Champala,6,,,,1
Chandrila,1,Empire,Generate_Force,1,
Chandrila,2,,,,1
Chandrila,3,,,,1
Chandrila,4,,,,1
Chandrila,5,,,,1
Chandrila,6,,,,1
Chardaan,1,Empire,Generate_Force,1,
Chardaan,2,,,,1
Chardaan,3,,,,1
Chardaan,4,,,,1
Chardaan,5,,,,1
Chardaan,6,,,,1
Charros,1,Trade_Federation,Generate_Force,1,
Charros,2,,,,1
Charros,3,Rebel,Generate_Force,1,
Charros,4,,,,3
Charros,5,,,,3
Charros,6,Empire,Generate_Force,1,
Charubah,1,Hapes,Generate_Force,1,
Charubah,2,,,,1
Charubah,3,,,,1
Charubah,4,,,,1
Charubah,5,,,,1
Charubah,6,,,,1
Chasin,1,Empire,Generate_Force,1,
Chasin,2,,,,1
Chasin,3,,,,1
Chasin,4,,,,1
Chasin,5,,,,1
Chasin,6,,,,1
Chazwa,1,Empire,Generate_Force,1,
Chazwa,2,,,,1
Chazwa,3,,,,1
Chazwa,4,,,,1
Chazwa,5,,,,1
Chazwa,6,,,,1
Chorax,1,Independent_Forces,Generate_Force,1,
Chorax,2,,,,1
Chorax,3,,,,1
Chorax,4,,,,1
Chorax,5,,,,1
Chorax,6,,,,1
Christophsis,1,Sector_Forces,Empire_Star_Base_3,1,
Christophsis,1,Sector_Forces,SF_Shipyard_Level_Two,1,
Christophsis,1,Sector_Forces,REP_DHC,1,
Christophsis,1,Sector_Forces,PDF_DHC,1,
Christophsis,1,Sector_Forces,Galleon,1,
Christophsis,1,Sector_Forces,SF_Ground_Barracks,1,
Christophsis,1,Sector_Forces,SF_Ground_Light_Vehicle_Factory,1,
Christophsis,1,Sector_Forces,Republic_Trooper_Company,2,
Christophsis,1,Sector_Forces,Republic_Navy_Trooper_Company,1,
Christophsis,1,Sector_Forces,Republic_AT_PT_Company,1,
Christophsis,1,Sector_Forces,LR_57_Combat_Droid_Company,2,
Christophsis,2,Rebel,Munificent,1,
Christophsis,2,Rebel,C9979_Carrier,1,
Christophsis,2,Rebel,Recusant_Light_Destroyer,1,
Christophsis,2,Rebel,Rebel_Office,1,
Christophsis,2,Rebel,AAT_Company,1,
Christophsis,2,Rebel,B1_Droid_Company,1,
Christophsis,2,Rebel,B2_Droid_Company,1,
Christophsis,2,Rebel,Destroyer_Droid_I_W_Company,1,
Christophsis,2,Rebel,LR_57_Combat_Droid_Company,1,
Christophsis,2,Rebel,Magna_Octuptarra_Company,1,
Christophsis,2,Rebel,Persuader_Company,1,
Christophsis,3,Empire,Empire_Star_Base_1,1,
Christophsis,3,Empire,Venator_Star_Destroyer,1,
Christophsis,3,Empire,Pelta_Support,1,
Christophsis,3,Empire,Pelta_Assault,1,
Christophsis,3,Empire,Empire_Office,1,
Christophsis,3,Empire,Clonetrooper_Phase_One_Company,2,
Christophsis,3,Empire,Republic_AT_RT_Company,1,
Christophsis,3,Empire,Republic_AT_TE_Walker_Company,1,
Christophsis,3,Empire,AV7_Company,1,
Christophsis,3,Empire,Republic_LAAT_Company,1,
Christophsis,4,Empire,Empire_Star_Base_2,1,
Christophsis,4,Empire,Republic_Shipyard_Level_Two,1,
Christophsis,4,Empire,Acclamator_I_Carrier,1,
Christophsis,4,Empire,Pelta_Support,1,
Christophsis,4,Empire,Empire_Office,1,
Christophsis,4,Empire,E_Ground_Barracks,1,
Christophsis,4,Empire,Clonetrooper_Phase_Two_Company,2,
Christophsis,4,Empire,Republic_AT_RT_Company,1,
Christophsis,4,Empire,Republic_AT_TE_Walker_Company,1,
Christophsis,4,Empire,AV7_Company,1,
Christophsis,4,Empire,Republic_LAAT_Company,1,
Christophsis,5,Empire,Empire_Star_Base_3,1,
Christophsis,5,Empire,Republic_Shipyard_Level_Two,1,
Christophsis,5,Empire,Acclamator_I_Carrier,1,
Christophsis,5,Empire,Pelta_Support,1,
Christophsis,5,Empire,Empire_Office,1,
Christophsis,5,Empire,E_Ground_Barracks,1,
Christophsis,5,Empire,E_Ground_Light_Vehicle_Factory,1,
Christophsis,5,Empire,Clonetrooper_Phase_Two_Company,2,
Christophsis,5,Empire,Republic_AT_RT_Company,1,
Christophsis,5,Empire,Republic_AT_TE_Walker_Company,1,
Christophsis,5,Empire,Republic_LAAT_Company,1,
Christophsis,6,Empire,Empire_Star_Base_3,1,
Christophsis,6,Empire,Republic_Shipyard_Level_Two,1,
Christophsis,6,Empire,Acclamator_I_Carrier,1,
Christophsis,6,Empire,Pelta_Support,1,
Christophsis,6,Empire,Empire_Office,1,
Christophsis,6,Empire,E_Ground_Barracks,1,
Christophsis,6,Empire,E_Ground_Light_Vehicle_Factory,1,
Christophsis,6,Empire,Clonetrooper_Phase_Two_Company,2,
Christophsis,6,Empire,Republic_AT_RT_Company,1,
Christophsis,6,Empire,Republic_AT_TE_Walker_Company,1,
Christophsis,6,Empire,Republic_LAAT_Company,1,
Chrondre,1,Trade_Federation,Generate_Force,1,
Chrondre,2,,,,1
Chrondre,3,,,,1
Chrondre,4,,,,1
Chrondre,5,Independent_Forces,Generate_Force,1,
Chrondre,6,,,,5
Circumtore,1,Hutt_Cartels,Generate_Force,1,
Circumtore,2,,,,1
Circumtore,3,,,,1
Circumtore,4,,,,1
Circumtore,5,,,,1
Circumtore,6,,,,1
Ciutric,1,Sector_Forces,Generate_Force,1,
Ciutric,2,Rebel,Generate_Force,1,
Ciutric,3,,,,2
Ciutric,4,,,,2
Ciutric,5,Empire,Generate_Force,1,
Ciutric,6,,,,5
Clakdor,1,Sector_Forces,Generate_Force,1,
Clakdor,2,Rebel,Generate_Force,1,
Clakdor,3,,,,2
Clakdor,4,,,,2
Clakdor,5,,,,2
Clakdor,6,,,,2
Codian_Moon,1,Independent_Forces,Generate_Force,1,
Codian_Moon,2,,,,1
Codian_Moon,3,,,,1
Codian_Moon,4,,,,1
Codian_Moon,5,,,,1
Codian_Moon,6,,,,1
Colla,1,Rebel,Generate_Force,1,
Colla,2,,,,1
Colla,3,,,,1
Colla,4,,,,1
Colla,5,,,,1
Colla,6,,,,1
Columex,1,Rebel,Generate_Force,1,
Columex,2,,,,1
Columex,3,,,,1
Columex,4,,,,1
Columex,5,,,,1
Columex,6,,,,1
Columus,1,Empire,Generate_Force,1,
Columus,2,,,,1
Columus,3,,,,1
Columus,4,,,,1
Columus,5,,,,1
Columus,6,,,,1
Comkin,1,Sector_Forces,Generate_Force,1,
Comkin,2,,,,1
Comkin,3,Empire,Generate_Force,1,
Comkin,4,,,,3
Comkin,5,,,,3
Comkin,6,,,,3
Commenor,1,Empire,Generate_Force,1,
Commenor,2,,,,1
Commenor,3,,,,1
Commenor,4,Rebel,Generate_Force,1,
Commenor,5,,,,1
Commenor,6,,,,1
Comra,1,Hutt_Cartels,Generate_Force,1,
Comra,2,,,,1
Comra,3,,,,1
Comra,4,,,,1
Comra,5,,,,1
Comra,6,,,,1
Concord_Dawn,1,Mandalorians,Generate_Force,1,
Concord_Dawn,2,,,,1
Concord_Dawn,3,,,,1
Concord_Dawn,4,,,,1
Concord_Dawn,5,,,,1
Concord_Dawn,6,,,,1
Contruum,1,Empire,Generate_Force,1,
Contruum,2,,,,1
Contruum,3,,,,1
Contruum,4,,,,1
Contruum,5,,,,1
Contruum,6,,,,1
Copero,1,Chiss,Generate_Force,1,
Copero,2,,,,1
Copero,3,,,,1
Copero,4,,,,1
Copero,5,,,,1
Copero,6,,,,1
Cophrigin,1,Sector_Forces,Generate_Force,1,
Cophrigin,2,,,,1
Cophrigin,3,Empire,Generate_Force,1,
Cophrigin,4,,,,3
Cophrigin,5,,,,3
