Planet,Era,Owner,ObjectType,Amount,ReuseEra
ALSAKAN,2,Empire,Dreadnaught,2,
ALSAKAN,2,Empire,Republic_Shipyard_Level_One,1,
ALSAKAN,3,Empire,Clonetrooper_Phase_One_Team,1,
ALSAKAN,3,Empire,Republic_LAAT_Group,1,
ALSAKAN,3,Empire,Republic_TX130_Company,1,
ALSAKAN,3,Empire,Republic_A5_Juggernaut_Company,2,
ALSAKAN,3,Empire,Corellian_Corvette,1,
ALSAKAN,3,Empire,E_Ground_Light_Vehicle_Factory,1,
ALSAKAN,3,Empire,E_Ground_Barracks,1,
ALSAKAN,3,Empire,Empire_MoffPalace,1,
ALSAKAN,3,Empire,Empire_Star_Base_2,1,
ALSAKAN,3,Empire,Generic_Acclamator_Assault_Ship_I,2,
ALSAKAN,3,Empire,Invincible_Cruiser,2,
ALSAKAN,3,Empire,Dreadnaught,1,
ALSAKAN,3,Empire,Arquitens,1,
ALSAKAN,3,Empire,Republic_Shipyard_Level_One,1,
ALSAKAN,4,Empire,Clonetrooper_Phase_Two_Team,1,
ALSAKAN,4,Empire,Republic_LAAT_Group,1,
ALSAKAN,4,Empire,Republic_TX130_Company,1,
ALSAKAN,4,Empire,Republic_A5_Juggernaut_Company,2,
ALSAKAN,4,Empire,Corellian_Corvette,1,
ALSAKAN,4,Empire,E_Ground_Heavy_Vehicle_Factory,1,
ALSAKAN,4,Empire,E_Ground_Light_Vehicle_Factory,1,
ALSAKAN,4,Empire,E_Ground_Barracks,1,
ALSAKAN,4,Empire,Empire_MoffPalace,1,
ALSAKAN,4,Empire,Empire_Star_Base_2,1,
ALSAKAN,4,Empire,Generic_Acclamator_Assault_Ship_I,3,
ALSAKAN,4,Empire,Invincible_Cruiser,1,
ALSAKAN,4,Empire,Generic_Venator,1,
ALSAKAN,4,Empire,Republic_Shipyard_Level_One,1,
ALSAKAN,5,Empire,Clonetrooper_Phase_One_Team,1,
ALSAKAN,5,Empire,Republic_LAAT_Group,1,
ALSAKAN,5,Empire,Republic_TX130_Company,1,
ALSAKAN,5,Empire,Republic_A5_Juggernaut_Company,2,
ALSAKAN,5,Empire,Corellian_Corvette,1,
ALSAKAN,5,Empire,E_Ground_Heavy_Vehicle_Factory,1,
ALSAKAN,5,Empire,E_Ground_Light_Vehicle_Factory,1,
ALSAKAN,5,Empire,E_Ground_Barracks,1,
ALSAKAN,5,Empire,Empire_MoffPalace,1,
ALSAKAN,5,Empire,Empire_Star_Base_2,1,
ALSAKAN,5,Empire,Generic_Acclamator_Assault_Ship_I,1,
ALSAKAN,5,Empire,Invincible_Cruiser,2,
ALSAKAN,5,Empire,Dreadnaught_Lasers,2,
ALSAKAN,5,Empire,Republic_Shipyard_Level_One,1,
ANAXES,1,Empire,Republic_Trooper_Team,3,
ANAXES,1,Empire,Republic_AT_RT_Company,1,
ANAXES,1,Empire,Republic_SD_6_Droid_Company,1,
ANAXES,1,Empire,Empire_MoffPalace,1,
ANAXES,1,Empire,Empire_Star_Base_2,1,
ANAXES,1,Empire,E_Ground_Barracks,2,
ANAXES,1,Empire,Generic_Acclamator_Assault_Ship_I,1,
ANAXES,1,Empire,Resource_Farmland,1,
ANAXES,1,Empire,Republic_Shipyard_Level_Two,1,
ANAXES,2,Empire,Clonetrooper_Phase_One_Team,2,
ANAXES,2,Empire,ARC_Phase_One_Team,1,
ANAXES,2,Empire,Clone_Commando_Team,1,
ANAXES,2,Empire,Republic_Trooper_Team,1,
ANAXES,2,Empire,Republic_AT_RT_Company,1,
ANAXES,2,Empire,Republic_SD_6_Droid_Company,1,
ANAXES,2,Empire,Empire_MoffPalace,1,
ANAXES,2,Empire,Empire_Star_Base_2,1,
ANAXES,2,Empire,E_Ground_Barracks,2,
ANAXES,2,Empire,Generic_Acclamator_Assault_Ship_I,1,
ANAXES,2,Empire,Republic_Shipyard_Level_Two,1,
ANAXES,3,Empire,Clonetrooper_Phase_One_Team,3,
ANAXES,3,Empire,ARC_Phase_One_Team,1,
ANAXES,3,Empire,Republic_AT_RT_Company,1,
ANAXES,3,Empire,Republic_SD_6_Droid_Company,1,
ANAXES,3,Empire,Empire_MoffPalace,1,
ANAXES,3,Empire,Empire_Star_Base_2,1,
ANAXES,3,Empire,E_Ground_Barracks,2,
ANAXES,3,Empire,Generic_Acclamator_Assault_Ship_I,1,
ANAXES,3,Empire,Republic_Shipyard_Level_Two,1,
ANAXES,3,Empire,Republic_A6_Juggernaut_Company,1,
ANAXES,3,Empire,Generic_Venator,1,
ANAXES,4,Empire,Clonetrooper_Phase_Two_Team,2,
ANAXES,4,Empire,Republic_AT_RT_Company,2,
ANAXES,4,Empire,Republic_SD_6_Droid_Company,1,
ANAXES,4,Empire,Republic_AT_AP_Walker_Company,1,
ANAXES,4,Empire,ARC_Phase_Two_Team,1,
ANAXES,4,Empire,Republic_A6_Juggernaut_Company,1,
ANAXES,4,Empire,Empire_MoffPalace,1,
ANAXES,4,Empire,Empire_Star_Base_2,1,
ANAXES,4,Empire,E_Ground_Barracks,2,
ANAXES,4,Empire,Generic_Acclamator_Assault_Ship_I,1,
ANAXES,4,Empire,Republic_Shipyard_Level_Two,1,
ANAXES,4,Empire,Generic_Venator,1,
ANAXES,5,Empire,Clonetrooper_Phase_One_Team,3,
ANAXES,5,Empire,ARC_Phase_One_Team,1,
ANAXES,5,Empire,Republic_AT_RT_Company,1,
ANAXES,5,Empire,Republic_SD_6_Droid_Company,1,
ANAXES,5,Empire,Empire_MoffPalace,1,
ANAXES,5,Empire,Empire_Star_Base_2,1,
ANAXES,5,Empire,E_Ground_Barracks,2,
ANAXES,5,Empire,Generic_Acclamator_Assault_Ship_I,1,
ANAXES,5,Empire,Republic_Shipyard_Level_Two,1,
ANDO,1,Pentastar,B1_Geo_Droid_Squad,2,
ANDO,1,Pentastar,Destroyer_Droid_Company,1,
ANDO,1,Pentastar,NewRep_SenatorsOffice,1,
ANDO,1,Pentastar,NewRepublic_Star_Base_2,1,
ANDO,1,Pentastar,R_Ground_Barracks,1,
ANDO,1,Pentastar,Destroyer_Droid_Company,1,
ANDO,1,Pentastar,Munificent,2,
ANDO,1,Pentastar,CIS_Shipyard_Level_One,1,
ANDO,2,Pentastar,B1_Geo_Droid_Squad,2,
ANDO,2,Pentastar,Destroyer_Droid_Company,1,
ANDO,2,Pentastar,NewRep_SenatorsOffice,1,
ANDO,2,Pentastar,NewRepublic_Star_Base_2,1,
ANDO,2,Pentastar,R_Ground_Barracks,1,
ANDO,2,Pentastar,Destroyer_Droid_Company,1,
ANDO,2,Pentastar,Munificent,2,
ANDO,2,Pentastar,CIS_Shipyard_Level_One,1,
ANDO,3,Rebel,B1_Geo_Droid_Squad,1,
ANDO,3,Rebel,NewRep_SenatorsOffice,1,
ANDO,3,Rebel,NewRepublic_Star_Base_2,1,
ANDO,3,Rebel,R_Ground_Barracks,1,
ANDO,3,Rebel,Destroyer_Droid_Company,3,
ANDO,3,Rebel,Persuader_Company,1,
ANDO,3,Rebel,Munificent,2,
ANDO,3,Rebel,CIS_Shipyard_Level_One,1,
ANDO,4,Rebel,Recusant,1,
ANDO,4,Rebel,B1_Geo_Droid_Squad,1,
ANDO,4,Rebel,Destroyer_Droid_Company,1,
ANDO,4,Rebel,NewRep_SenatorsOffice,1,
ANDO,4,Rebel,NewRepublic_Star_Base_2,1,
ANDO,4,Rebel,R_Ground_Barracks,1,
ANDO,4,Rebel,AAT_Droid_Company,1,
ANDO,4,Rebel,Persuader_Company,1,
ANDO,4,Rebel,Munificent,2,
ANDO,4,Rebel,CIS_Shipyard_Level_One,1,
ANDO,5,Pentastar,B1_Geo_Droid_Squad,2,
ANDO,5,Pentastar,Destroyer_Droid_Company,1,
ANDO,5,Pentastar,NewRep_SenatorsOffice,1,
ANDO,5,Pentastar,NewRepublic_Star_Base_2,1,
ANDO,5,Pentastar,R_Ground_Barracks,1,
ANDO,5,Pentastar,Destroyer_Droid_Company,1,
ANDO,5,Pentastar,Generic_Lucrehulk,1,
ANDO,5,Pentastar,Munificent,4,
ANDO,5,Pentastar,CIS_Shipyard_Level_One,1,
BALAMAK,1,Empire,Republic_Trooper_Team,1,
BALAMAK,1,Empire,Republic_SD_6_Droid_Company,1,
BALAMAK,1,Empire,E_Ground_Barracks,1,
BALAMAK,1,Empire,Empire_MoffPalace,1,
BALAMAK,1,Empire,Empire_Star_Base_2,1,
BALAMAK,1,Empire,Dreadnaught_Lasers,1,
BALAMAK,1,Empire,Carrack_Cruiser_Lasers,1,
BALAMAK,1,Empire,Republic_Shipyard_Level_One,1,
BALAMAK,2,Empire,Republic_Trooper_Team,1,
BALAMAK,2,Empire,Republic_SD_6_Droid_Company,1,
BALAMAK,2,Empire,E_Ground_Barracks,1,
BALAMAK,2,Empire,Empire_MoffPalace,1,
BALAMAK,2,Empire,Empire_Star_Base_2,1,
BALAMAK,2,Empire,Dreadnaught_Lasers,1,
BALAMAK,2,Empire,Carrack_Cruiser_Lasers,1,
BALAMAK,2,Empire,Republic_Shipyard_Level_One,1,
BALAMAK,3,Empire,Republic_Trooper_Team,1,
BALAMAK,3,Empire,Republic_SD_6_Droid_Company,1,
BALAMAK,3,Empire,E_Ground_Barracks,1,
BALAMAK,3,Empire,Empire_MoffPalace,1,
BALAMAK,3,Empire,Empire_Star_Base_2,1,
BALAMAK,3,Empire,Dreadnaught_Lasers,1,
BALAMAK,3,Empire,Resource_Farmland,1,
BALAMAK,3,Empire,Carrack_Cruiser_Lasers,1,
BALAMAK,3,Empire,Republic_Shipyard_Level_One,1,
BALAMAK,4,Empire,Republic_Trooper_Team,1,
BALAMAK,4,Empire,Republic_SD_6_Droid_Company,1,
BALAMAK,4,Empire,E_Ground_Barracks,1,
BALAMAK,4,Empire,Empire_MoffPalace,1,
BALAMAK,4,Empire,Empire_Star_Base_2,1,
BALAMAK,4,Empire,Dreadnaught_Lasers,1,
BALAMAK,4,Empire,Resource_Farmland,1,
BALAMAK,4,Empire,Carrack_Cruiser_Lasers,1,
BALAMAK,4,Empire,Republic_Shipyard_Level_One,1,
BALAMAK,5,Empire,Republic_Trooper_Team,1,
BALAMAK,5,Empire,Republic_SD_6_Droid_Company,1,
BALAMAK,5,Empire,E_Ground_Barracks,1,
BALAMAK,5,Empire,Empire_MoffPalace,1,
BALAMAK,5,Empire,Empire_Star_Base_2,1,
BALAMAK,5,Empire,Dreadnaught_Lasers,1,
BALAMAK,5,Empire,Resource_Farmland,1,
BALAMAK,5,Empire,Carrack_Cruiser_Lasers,1,
BALAMAK,5,Empire,Republic_Shipyard_Level_One,1,
BALMORRA,1,Hutts,B1_RC_Droid_Squad,1,
BALMORRA,1,Hutts,Hardcell,2,
BALMORRA,1,Hutts,Destroyer_Droid_Company,1,
BALMORRA,1,Hutts,Cargo_Lucrehulk,1,
BALMORRA,1,Hutts,Captor,1,
BALMORRA,1,Hutts,Auxilia,1,
BALMORRA,1,Hutts,R_Ground_Barracks,1,
BALMORRA,1,Hutts,R_Ground_Light_Vehicle_Factory,1,
BALMORRA,1,Hutts,NewRep_SenatorsOffice,1,
BALMORRA,1,Hutts,NewRepublic_Star_Base_2,1,
BALMORRA,1,Hutts,CIS_Shipyard_Level_Two,1,
BALMORRA,1,Hutts,Persuader_Company,1,
BALMORRA,2,Hutts,B1_RC_Droid_Squad,1,
BALMORRA,2,Hutts,Hardcell,2,
BALMORRA,2,Hutts,Destroyer_Droid_Company,1,
BALMORRA,2,Hutts,Cargo_Lucrehulk,1,
BALMORRA,2,Hutts,Captor,1,
BALMORRA,2,Hutts,Auxilia,1,
BALMORRA,2,Hutts,R_Ground_Barracks,1,
BALMORRA,2,Hutts,R_Ground_Light_Vehicle_Factory,1,
BALMORRA,2,Hutts,NewRep_SenatorsOffice,1,
BALMORRA,2,Hutts,NewRepublic_Star_Base_2,1,
BALMORRA,2,Hutts,CIS_Shipyard_Level_Two,1,
BALMORRA,2,Hutts,Persuader_Company,1,
BALMORRA,3,Warlords,Generic_Lucrehulk,2,
BALMORRA,3,Warlords,Carrack_Cruiser_Lasers,6,
BALMORRA,3,Warlords,IPV1_System_Patrol_Craft,4,
BALMORRA,3,Warlords,PDF_Soldier_Team,2,
BALMORRA,3,Warlords,Republic_SD_6_Droid_Company,2,
BALMORRA,3,Warlords,Republic_AT_TE_Walker_Company,1,
BALMORRA,3,Warlords,AAT_Company,1,
BALMORRA,4,Warlords,Generic_Lucrehulk,2,
BALMORRA,4,Warlords,Carrack_Cruiser_Lasers,6,
BALMORRA,4,Warlords,IPV1_System_Patrol_Craft,4,
BALMORRA,4,Warlords,PDF_Soldier_Team,2,
BALMORRA,4,Warlords,Republic_SD_6_Droid_Company,2,
BALMORRA,4,Warlords,Republic_AT_TE_Walker_Company,1,
BALMORRA,4,Warlords,AAT_Company,1,
BALMORRA,5,Hutts,B1_RC_Droid_Squad,1,
BALMORRA,5,Hutts,Hardcell,2,
BALMORRA,5,Hutts,Destroyer_Droid_Company,1,
BALMORRA,5,Hutts,Cargo_Lucrehulk,1,
BALMORRA,5,Hutts,Captor,1,
BALMORRA,5,Hutts,Auxilia,1,
BALMORRA,5,Hutts,R_Ground_Barracks,1,
BALMORRA,5,Hutts,R_Ground_Light_Vehicle_Factory,1,
BALMORRA,5,Hutts,NewRep_SenatorsOffice,1,
BALMORRA,5,Hutts,NewRepublic_Star_Base_2,1,
BALMORRA,5,Hutts,CIS_Shipyard_Level_Two,1,
BALMORRA,5,Hutts,Persuader_Company,1,
BARLOK,1,Rebel,B1_Droid_Squad,1,
BARLOK,1,Rebel,Destroyer_Droid_Company,1,
BARLOK,1,Rebel,NewRep_SenatorsOffice,1,
BARLOK,1,Rebel,NewRepublic_Star_Base_2,1,
BARLOK,1,Rebel,Resource_Farmland,1,
BARLOK,1,Rebel,Resource_Industrial_Parts,1,
BARLOK,1,Rebel,CIS_Shipyard_Level_One,1,
BARLOK,1,Rebel,Diamond_Frigate,1,
BARLOK,1,Rebel,Hardcell,1,
BARLOK,1,Rebel,C9979_Carrier,1,
BARLOK,1,Rebel,Persuader_Company,1,
BARLOK,2,Rebel,B1_Droid_Squad,1,
BARLOK,2,Rebel,Destroyer_Droid_Company,1,
BARLOK,2,Rebel,NewRep_SenatorsOffice,1,
BARLOK,2,Rebel,NewRepublic_Star_Base_2,1,
BARLOK,2,Rebel,Resource_Farmland,1,
BARLOK,2,Rebel,Resource_Industrial_Parts,1,
BARLOK,2,Rebel,CIS_Shipyard_Level_One,1,
BARLOK,2,Rebel,Diamond_Frigate,1,
BARLOK,2,Rebel,Hardcell,1,
BARLOK,2,Rebel,C9979_Carrier,1,
BARLOK,2,Rebel,Persuader_Company,1,
BARLOK,3,Rebel,B1_Droid_Squad,1,
BARLOK,3,Rebel,Destroyer_Droid_Company,1,
BARLOK,3,Rebel,NewRep_SenatorsOffice,1,
BARLOK,3,Rebel,NewRepublic_Star_Base_2,1,
BARLOK,3,Rebel,Resource_Farmland,1,
BARLOK,3,Rebel,Resource_Industrial_Parts,1,
BARLOK,3,Rebel,CIS_Shipyard_Level_One,1,
BARLOK,3,Rebel,Diamond_Frigate,1,
BARLOK,3,Rebel,Hardcell,1,
BARLOK,3,Rebel,C9979_Carrier,1,
BARLOK,3,Rebel,Persuader_Company,1,
BARLOK,4,Rebel,B1_Droid_Squad,1,
BARLOK,4,Rebel,Destroyer_Droid_Company,1,
BARLOK,4,Rebel,NewRep_SenatorsOffice,1,
BARLOK,4,Rebel,NewRepublic_Star_Base_2,1,
BARLOK,4,Rebel,CIS_Shipyard_Level_One,1,
BARLOK,4,Rebel,Resource_Farmland,1,
BARLOK,4,Rebel,Resource_Industrial_Parts,1,
BARLOK,4,Rebel,Diamond_Frigate,1,
BARLOK,4,Rebel,Hardcell,1,
BARLOK,4,Rebel,C9979_Carrier,1,
BARLOK,4,Rebel,Persuader_Company,1,
BARLOK,5,Rebel,B1_Droid_Squad,1,
BARLOK,5,Rebel,Destroyer_Droid_Company,1,
BARLOK,5,Rebel,NewRep_SenatorsOffice,1,
BARLOK,5,Rebel,NewRepublic_Star_Base_2,1,
BARLOK,5,Rebel,Resource_Farmland,1,
BARLOK,5,Rebel,Resource_Industrial_Parts,1,
BARLOK,5,Rebel,CIS_Shipyard_Level_One,1,
BARLOK,5,Rebel,Diamond_Frigate,1,
BARLOK,5,Rebel,Hardcell,1,
BARLOK,5,Rebel,C9979_Carrier,1,
BARLOK,5,Rebel,Persuader_Company,1,
BASILISK,1,Warlords,Dreadnaught_Lasers,5,
BASILISK,1,Warlords,Gozanti_Cruiser_Squadron,5,
BASILISK,2,Warlords,Dreadnaught_Lasers,5,
BASILISK,2,Warlords,Gozanti_Cruiser_Squadron,5,
BASILISK,3,Warlords,Dreadnaught_Lasers,5,
BASILISK,3,Warlords,Gozanti_Cruiser_Squadron,5,
BASILISK,4,Warlords,Dreadnaught_Lasers,5,
BASILISK,4,Warlords,Gozanti_Cruiser_Squadron,5,
BASILISK,5,Warlords,Dreadnaught_Lasers,5,
BASILISK,5,Warlords,Gozanti_Cruiser_Squadron,5,
BELDERONE,1,Empire,Arquitens,1,
BELDERONE,1,Empire,Clonetrooper_Phase_One_Team,1,
BELDERONE,1,Empire,E_Ground_Barracks,1,
BELDERONE,1,Empire,Empire_MoffPalace,1,
BELDERONE,1,Empire,Empire_Star_Base_2,1,
BELDERONE,1,Empire,Generic_Acclamator_Assault_Ship_Leveler,1,
BELDERONE,1,Empire,Republic_LAAT_Group,1,
BELDERONE,1,Empire,Republic_Shipyard_Level_One,1,
BELDERONE,2,Empire,Arquitens,1,
BELDERONE,2,Empire,Clonetrooper_Phase_One_Team,1,
BELDERONE,2,Empire,E_Ground_Barracks,1,
BELDERONE,2,Empire,Empire_MoffPalace,1,
BELDERONE,2,Empire,Empire_Star_Base_2,1,
BELDERONE,2,Empire,Generic_Acclamator_Assault_Ship_Leveler,1,
BELDERONE,2,Empire,Republic_LAAT_Group,1,
BELDERONE,2,Empire,Republic_Shipyard_Level_One,1,
BELDERONE,3,Empire,Arquitens,1,
BELDERONE,3,Empire,Clonetrooper_Phase_One_Team,1,
BELDERONE,3,Empire,E_Ground_Barracks,1,
BELDERONE,3,Empire,Empire_MoffPalace,1,
BELDERONE,3,Empire,Empire_Star_Base_2,1,
BELDERONE,3,Empire,Generic_Venator,1,
BELDERONE,3,Empire,Republic_LAAT_Group,1,
BELDERONE,3,Empire,Republic_Shipyard_Level_One,1,
BELDERONE,4,Empire,Carrack_Cruiser_Lasers,2,
BELDERONE,4,Empire,Clonetrooper_Phase_Two_Team,1,
BELDERONE,4,Empire,E_Ground_Barracks,1,
BELDERONE,4,Empire,Empire_MoffPalace,1,
BELDERONE,4,Empire,Empire_Star_Base_2,1,
BELDERONE,4,Empire,Generic_Venator,1,
BELDERONE,4,Empire,Generic_Victory_Destroyer,2,
BELDERONE,4,Empire,Republic_LAAT_Group,1,
BELDERONE,4,Empire,Republic_Shipyard_Level_One,1,
BELDERONE,5,Empire,Arquitens,1,
BELDERONE,5,Empire,Clonetrooper_Phase_One_Team,1,
BELDERONE,5,Empire,E_Ground_Barracks,1,
BELDERONE,5,Empire,Empire_MoffPalace,1,
BELDERONE,5,Empire,Empire_Star_Base_2,1,
BELDERONE,5,Empire,Generic_Acclamator_Assault_Ship_Leveler,1,
BELDERONE,5,Empire,Republic_LAAT_Group,1,
BELDERONE,5,Empire,Republic_Shipyard_Level_One,1,
BELGAROTH,1,Empire,Carrack_Cruiser_Lasers,1,
BELGAROTH,1,Empire,Republic_Trooper_Team,2,
